Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCM.SB1,2003.07,384318,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2003.08,388545,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2003.09,389583,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2003.10,392955,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2003.11,399990,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2003.12,409266,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.01,410391,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.02,409041,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.03,411360,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.04,410823,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.05,409305,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.06,419709,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.07,419961,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.08,419829,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.09,421986,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.10,423978,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.11,423615,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2004.12,430023,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.01,432693,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.02,430725,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.03,433029,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.04,433533,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.05,432756,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.06,436686,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.07,435054,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.08,438558,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.09,438087,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.10,440220,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.11,439659,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2005.12,448926,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.01,450384,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.02,450804,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.03,447150,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.04,449259,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.05,448728,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.06,455367,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.07,454446,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.08,454674,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.09,455967,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.10,457239,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.11,456912,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2006.12,465606,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.01,464319,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.02,461856,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.03,459369,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.04,462411,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.05,463347,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.06,463977,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.07,464940,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.08,467580,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.09,470178,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.10,468264,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.11,467778,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2007.12,474465,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.01,475095,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.02,472728,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.03,475095,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.04,475053,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.05,470232,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.06,473520,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.07,474099,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.08,475548,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.09,477054,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.10,478098,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.11,477687,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2008.12,480822,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.01,477510,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.02,479940,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.03,476112,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.04,479508,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.05,478794,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.06,477453,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.07,473466,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.08,473232,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.09,474987,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.10,473133,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.11,465801,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2009.12,472896,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.01,471726,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.02,472146,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.03,470154,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.04,472263,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.05,473103,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.06,473535,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.07,469602,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.08,470655,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.09,469413,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.10,472674,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.11,467583,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2010.12,472917,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.01,471615,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.02,472623,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.03,472779,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.04,471120,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.05,468963,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.06,473106,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.07,471753,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.08,472617,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.09,471807,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.10,471573,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.11,470619,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2011.12,471495,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.01,470679,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.02,470613,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.03,469395,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.04,470904,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.05,471621,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.06,473679,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.07,471954,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.08,471726,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.09,472509,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.10,471927,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.11,471339,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2012.12,476007,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.01,471852,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.02,469062,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.03,473196,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.04,473670,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.05,474867,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.06,476802,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.07,473286,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.08,476952,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.09,476199,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.10,474594,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.11,476682,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2013.12,479469,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.01,479232,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.02,479964,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.03,479043,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.04,477315,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.05,455403,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.06,469620,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.07,471843,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.08,488505,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.09,488964,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.10,488451,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.11,489825,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2014.12,488073,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.01,490347,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.02,489375,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.03,489813,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.04,490200,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.05,489324,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.06,494199,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.07,491967,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.08,492507,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.09,491352,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.10,492441,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.11,490617,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2015.12,494520,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.01,496053,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.02,500193,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.03,498786,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.04,499809,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.05,499464,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.06,499176,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.07,501639,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.08,503625,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.09,502941,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.10,504786,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.11,504789,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2016.12,509643,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.01,508317,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.02,510024,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.03,511959,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.04,513252,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.05,511296,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.06,513528,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.07,513600,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.08,515418,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.09,513606,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.10,516261,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.11,511761,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2017.12,512061,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.01,509469,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.02,523974,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.03,522840,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.04,523590,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.05,517572,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.06,520617,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.07,520236,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.08,521445,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.09,518922,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.10,519399,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.11,520428,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2018.12,527112,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2019.01,526617,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2019.02,530793,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2019.03,530079,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2019.04,533607,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2019.05,529263,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2019.06,532881,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
